  974.  973.  982.  991. 1004. 1017. 1015. 1013. 1006.
  974.  970.  960.  989. 1025. 1014. 1012. 1007.  998.
  975.  970.  971.  982. 1000. 1004. 1004. 1004. 1005.
  976.  976.  971.  982.  989.  994.  994. 1001. 1012.
 1003.  988.  984.  987.  991.  990.  990.  993.  993.
 1031. 1006.  991.  992.  997.  989.  983.  981.  975.
 1038. 1015.  999.  992.  991.  984.  979.  975.  978.
 1045. 1019.  998.  996.  989.  986.  975.  980.  981.
 1029. 1016. 1009. 1005. 1004.  993.  988.  988.  993.
 1012. 1014. 1015. 1021. 1027. 1011.  996. 1001. 1006.
